,datetime,cpu0,cpu1,cpu2,ram,data_download,data_upload,cpuavg,state
101,2022-10-20 11:09:28.716866,48.5,48.0,48.7,44.3,0.516386622,0.01483477,48.4,high
102,2022-10-20 11:09:30.883536,51.5,51.5,55.9,44.3,0.516386622,0.01483477,52.96666666666667,high
103,2022-10-20 11:09:33.064385,55.3,57.4,54.4,44.1,0.519110061,0.014841022,55.699999999999996,high
104,2022-10-20 11:09:35.226806,49.8,50.0,49.0,44.2,0.519111254,0.014844705,49.6,high
105,2022-10-20 11:09:37.418100,50.8,51.5,50.8,44.2,0.519111296,0.014844775,51.03333333333333,high
106,2022-10-20 11:09:39.584621,43.2,44.1,42.6,44.2,0.519111296,0.014844775,43.300000000000004,high
107,2022-10-20 11:09:41.754578,48.3,47.7,47.0,44.2,0.519112281,0.014844775,47.666666666666664,high
108,2022-10-20 11:09:44.146387,49.8,52.0,50.5,44.2,0.519112407,0.014844775,50.76666666666667,high
109,2022-10-20 11:09:46.359229,62.3,65.3,63.1,44.3,0.519112491,0.014844775,63.56666666666666,high
110,2022-10-20 11:09:48.532592,56.0,57.3,56.9,44.3,0.521110331,0.014848286,56.73333333333333,high
111,2022-10-20 11:09:50.690787,47.2,46.0,48.1,44.3,0.521110331,0.014848286,47.1,high
112,2022-10-20 11:09:52.857407,56.8,59.2,57.7,44.3,0.521110724,0.014851032,57.9,high
113,2022-10-20 11:09:55.019172,54.6,56.9,55.0,44.3,0.521110724,0.014851032,55.5,high
114,2022-10-20 11:09:57.191269,59.8,60.9,62.3,44.1,0.522303706,0.014852933,61.0,high
115,2022-10-20 11:09:59.378215,55.3,56.6,56.7,44.2,0.523232756,0.014854058,56.20000000000001,high
116,2022-10-20 11:10:01.536864,58.9,58.6,60.9,44.2,0.523233741,0.014854058,59.46666666666667,high
117,2022-10-20 11:10:03.709583,49.7,52.5,52.7,44.3,0.523236175,0.014858716,51.63333333333333,high
118,2022-10-20 11:10:05.887231,50.8,51.5,54.5,44.3,0.523237517,0.014862295,52.26666666666667,high
119,2022-10-20 11:10:08.045135,56.2,55.7,58.3,44.2,0.523237863,0.014863575,56.73333333333333,high
120,2022-10-20 11:10:10.148604,57.1,58.9,59.5,44.4,0.525396273,0.014874729,58.5,high
121,2022-10-20 11:10:12.321449,44.7,46.3,42.6,44.4,0.525397329,0.014877724,44.53333333333333,high
122,2022-10-20 11:10:14.789967,30.5,34.0,32.2,44.4,0.525397638,0.014877837,32.233333333333334,normal
123,2022-10-20 11:10:16.901368,54.6,53.5,55.9,44.4,0.525408883,0.014880695,54.666666666666664,high
124,2022-10-20 11:10:19.074663,85.8,88.0,86.2,44.5,0.525526602,0.014902988,86.66666666666667,high
125,2022-10-20 11:10:21.507904,72.1,73.1,73.8,44.5,0.525530309,0.014908447,73.0,high
126,2022-10-20 11:10:23.654253,54.0,56.9,55.4,44.5,0.525530435,0.014908855,55.43333333333334,high
127,2022-10-20 11:10:25.801729,48.5,53.7,50.8,44.3,0.525530519,0.014909059,51.0,high
128,2022-10-20 11:10:27.904712,53.5,55.9,56.5,44.4,0.52734866,0.014923385,55.300000000000004,high
129,2022-10-20 11:10:30.207954,54.5,56.4,55.9,44.4,0.527348889,0.014923608,55.6,high
130,2022-10-20 11:10:32.366385,53.2,53.9,51.8,44.3,0.527348889,0.014923812,52.96666666666666,high
